"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-09-18","Ramon De Jesus","LAA","CWS","4","3","182","11","12","171","170","1","94","93.4","0.6","90.7","0.14","1.62"
"","2024-09-18","Chris Segal","KC","DET","2","4","161","13","9.5","148","151.5","-3.5","91.9","94.1","-2.2","93.2","-0.71","1.93"
"","2024-09-18","Brian Walsh","COL","AZ","4","9","159","10","9.1","149","149.9","-0.9","93.7","94.3","-0.6","94.3","0.7","1.16"
"","2024-09-18","Chad Fairchild","CLE","MIN","5","4","132","7","8.3","125","123.7","1.3","94.7","93.7","1","93.9","0.61","0.69"
"","2024-09-18","Ryan Blakney","CIN","ATL","1","7","137","6","9.9","131","127.1","3.9","95.6","92.8","2.9","94.9","0.05","1.09"
"","2024-09-18","Paul Clemons","CHC","OAK","3","5","154","10","7.3","144","146.7","-2.7","93.5","95.3","-1.8","92.9","-0.5","1.02"
"","2024-09-18","John Libka","BAL","SF","3","5","152","2","5.4","150","146.6","3.4","98.7","96.4","2.3","96.1","0.29","0.37"
"","2024-09-17","Laz Diaz","TEX","TOR","13","8","204","15","13.8","189","190.2","-1.2","92.6","93.3","-0.6","95.6","-1.51","3.21"
"","2024-09-17","Manny Gonzalez","TB","BOS","8","3","119","15","8.7","104","110.3","-6.3","87.4","92.7","-5.3","93.3","1.53","1.77"
"","2024-09-17","Chad Whitson","STL","PIT","3","1","136","12","9.4","124","126.6","-2.6","91.2","93.1","-1.9","95.6","0.72","1.46"
"","2024-09-17","Jeremie Rehak","SEA","NYY","2","11","187","12","13.1","175","173.9","1.1","93.6","93","0.6","89.8","0.26","1.6"
"","2024-09-17","Brennan Miller","SD","HOU","3","4","140","11","11.3","129","128.7","0.3","92.1","91.9","0.2","89.3","0.58","1.68"
"","2024-09-17","Charlie Ramos","NYM","WSH","10","1","167","13","8.6","154","158.4","-4.4","92.2","94.9","-2.6","91.6","-0.02","2.4"
"","2024-09-17","Gabe Morales","MIL","PHI","1","5","146","12","8.3","134","137.7","-3.7","91.8","94.3","-2.5","89.7","-0.24","1.86"
"","2024-09-17","Ben May","MIA","LAD","11","9","179","7","8.6","172","170.4","1.6","96.1","95.2","0.9","95.5","-1.18","1.5"
"","2024-09-17","David Arrieta","LAA","CWS","5","0","145","5","9.6","140","135.4","4.6","96.6","93.4","3.2","96.6","0.19","0.41"
"","2024-09-17","Nate Tomlinson","KC","DET","1","3","168","6","12","162","156","6","96.4","92.9","3.6","96.4","-0.27","0.89"
"","2024-09-17","Rob Drake","COL","AZ","8","2","148","8","9.3","140","138.7","1.3","94.6","93.7","0.8","93.9","0.19","0.95"
"","2024-09-17","Junior Valentine","CLE","MIN","1","4","140","4","8.3","136","131.7","4.3","97.1","94.1","3.1","93.6","0.1","0.36"
"","2024-09-17","Sean Barber","CIN","ATL","6","5","178*","11*","9.9*","167*","168.1*","-1.1*","93.8*","94.4*","-0.6*","91.6*","-0.83*","1.15*"
"","2024-09-17","Vic Carapazza","CHC","OAK","3","4","153","14","11.4","139","141.6","-2.6","90.8","92.5","-1.7","93.5","-0.37","2.09"
"","2024-09-17","Stu Scheurwater","BAL","SF","0","10","163","13","10.2","150","152.8","-2.8","92","93.7","-1.7","91.4","0.51","3.61"
"","2024-09-16","James Hoye","STL","PIT","4","0","148","12","9.2","136","138.8","-2.8","91.9","93.8","-1.9","92.6","0.36","2.34"
"","2024-09-16","Brian O'Nora","SD","HOU","3","1","122","14","7.8","108","114.2","-6.2","88.5","93.6","-5.1","92.6","0.39","2.53"
"","2024-09-16","Jansen Visconti","NYM","WSH","2","1","128","7","9.8","121","118.2","2.8","94.5","92.3","2.2","90.6","0.51","1.89"
"","2024-09-16","Emil Jimenez","MIL","PHI","6","2","172","12","12.6","160","159.4","0.6","93","92.7","0.4","91.9","0.58","1.38"
"","2024-09-16","Adrian Johnson","LAA","CWS","4","8","170","15","10.6","155","159.4","-4.4","91.2","93.8","-2.6","88.8","-0.19","1.77"
"","2024-09-16","Larry Vanover","KC","DET","6","7","168","14","11.2","154","156.8","-2.8","91.7","93.3","-1.7","95.2","0.36","2.08"
"","2024-09-16","Doug Eddings","COL","AZ","3","2","121","9","9.9","112","111.1","0.9","92.6","91.8","0.7","91.7","-1.38","1.54"
"","2024-09-16","Carlos Torres","CLE","MIN","4","3","148","8","8.7","140","139.3","0.7","94.6","94.1","0.5","96.6","0.29","1.03"
"","2024-09-16","Edwin Moscoso","CHC","OAK","9","2","152","7","9.3","145","142.7","2.3","95.4","93.9","1.5","94.1","-0.03","0.89"
"","2024-09-16","Jordan Baker","ATL","LAD","0","9","162","7","13.3","155","148.7","6.3","95.7","91.8","3.9","93.2","0.2","0.62"
"","2024-09-15","D.J. Reyburn","WSH","MIA","4","3","144","5","10.3","139","133.7","5.3","96.5","92.8","3.7","95.8","0.46","0.7"
"","2024-09-15","Phil Cuzzi","TOR","STL","3","2","132","8","9.3","124","122.7","1.3","93.9","92.9","1","92.4","-0.11","0.95"
"","2024-09-15","Alex MacKay","SF","SD","3","4","151","2","7.1","149","143.9","5.1","98.7","95.3","3.4","96.7","0.05","0.15"
"","2024-09-15","Malachi Moore","SEA","TEX","7","0","124","13","8","111","116","-5","89.5","93.5","-4","91.1","-0.16","0.92"
"","2024-09-15","Ryan Wills","PIT","KC","4","3","175","5","12.8","170","162.2","7.8","97.1","92.7","4.4","93.7","0.02","1.2"
"","2024-09-15","Nestor Ceja","PHI","NYM","2","1","100","10","4.5","90","95.5","-5.5","90","95.5","-5.5","92","0.9","1.22"
"","2024-09-15","Hunter Wendelstedt","NYY","BOS","5","2","165","14","15.6","151","149.4","1.6","91.5","90.6","1","93.9","0.97","1.63"
